number,subid,color_accuracy,shape_accuracy,overall_accuracy
1,G4CEC4,1.0,0.6667,0.8333
2,NYY0JC,1.0,1.0,1.0
3,JDJK0V,1.0,1.0,1.0
4,EP67HC,0.8333,1.0,0.9167
5,Z7NTMK,1.0,1.0,1.0
6,HCV5VL,1.0,1.0,1.0
7,LVTRZP,0.8333,1.0,0.9167
8,70EQCC,1.0,1.0,1.0
9,EJLR91,1.0,1.0,1.0
10,YEL750,0.8333,1.0,0.9167
11,0E1T7F,1.0,1.0,1.0
12,DQ8CP0,1.0,0.8333,0.9167
13,9DAVUV,1.0,1.0,1.0
14,VWTGZN,0.8333,0.8333,0.8333
15,A0D2RV,0.8333,1.0,0.9167
16,9Y53G3,1.0,0.8333,0.9167
17,3HAC8Z,1.0,0.8333,0.9167
18,G21ZJZ,1.0,1.0,1.0
19,R7Z1Z2,1.0,1.0,1.0
20,K7ZVL8,1.0,1.0,1.0
21,6EVP4L,1.0,1.0,1.0
22,VDKA3U,1.0,1.0,1.0
23,UJD902,1.0,1.0,1.0
24,6L7FFZ,0.8333,1.0,0.9167
25,59V09D,0.8333,1.0,0.9167
26,DK031N,0.8333,1.0,0.9167
27,ZFHRNK,0.6667,0.5,0.5833
28,AHD6DK,1.0,1.0,1.0
29,6W8LXD,1.0,1.0,1.0
30,D5QAKR,1.0,1.0,1.0
31,4V3JLH,1.0,1.0,1.0
32,WJGE99,0.6667,0.6667,0.6667
33,EFZ715,0.8333,0.8333,0.8333
34,R1W7WT,1.0,1.0,1.0
35,5M1A4Y,0.8333,0.8333,0.8333
36,AMJDVJ,0.8333,1.0,0.9167
37,NE67GV,0.8333,0.8333,0.8333
38,GVTY1K,1.0,1.0,1.0
39,PCKZKF,1.0,0.8333,0.9167
40,JNCVD6,1.0,1.0,1.0
41,A867Z4,1.0,1.0,1.0
42,3552GW,0.8333,1.0,0.9167
43,5LDGLV,1.0,1.0,1.0
44,VGD5VN,0.8333,1.0,0.9167
45,AMJ0GC,1.0,0.8333,0.9167
46,0NPJWL,1.0,0.8333,0.9167
47,Y6G5R4,0.8333,1.0,0.9167
48,57L54L,1.0,1.0,1.0
49,0MW9TH,1.0,1.0,1.0
50,XQ783R,1.0,1.0,1.0
51,8CLW2F,1.0,0.5,0.75
52,M1WG0K,0.8333,1.0,0.9167
53,T8QTJ3,1.0,1.0,1.0
54,25CYHR,0.8333,0.8333,0.8333
55,GUNLJP,1.0,1.0,1.0
56,A2GA51,0.8333,1.0,0.9167
57,A5PLRQ,1.0,1.0,1.0
58,PAVC6T,0.8333,1.0,0.9167
59,ATJF2G,0.8333,1.0,0.9167
60,HN3V3X,1.0,1.0,1.0
61,44K4YF,1.0,0.6667,0.8333
62,CYDE2H,0.6667,0.8333,0.75
63,0CV6D0,0.8333,1.0,0.9167
64,AJM9RJ,1.0,1.0,1.0
65,9DNLX0,1.0,1.0,1.0
66,4MA242,1.0,1.0,1.0
67,PFNPG3,0.8333,0.6667,0.75
68,3TRYKE,1.0,1.0,1.0
,MEAN,0.9314,0.9363,0.9338
